n,e,d6,num_digons,num_distinct_eigenvalues,spectrum,max_eig,min_eig
5,14,&D^^WP?,4,2,4.000000;-1.000000;-1.000000;-1.000000;-1.000000,4.000000,-1.000000
5,14,&DXRF^?,4,2,4.000000;-1.000000;-1.000000;-1.000000;-1.000000,4.000000,-1.000000
5,16,&D^^^O?,6,2,4.000000;-1.000000;-1.000000;-1.000000;-1.000000,4.000000,-1.000000
5,16,&D\ZVN?,6,2,4.000000;-1.000000;-1.000000;-1.000000;-1.000000,4.000000,-1.000000
5,20,&D^^^^?,10,2,4.000000;-1.000000;-1.000000;-1.000000;-1.000000,4.000000,-1.000000
5,13,&D^]WP?,3,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,13,&D^^WO?,3,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,13,&D\ZO]?,3,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,13,&D\ZON?,3,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,13,&DXQF^?,3,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,13,&DXRF]?,3,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,15,&D^^[P?,5,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,15,&D^^]O?,5,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,15,&D\RF^?,5,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,15,&D\ZUN?,5,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,17,&D^^^W?,7,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,17,&D^ZVN?,7,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,19,&D^^^]?,9,4,3.732051;0.267949;-1.000000;-1.000000;-2.000000,3.732051,-2.000000
5,12,&D^[XO?,2,4,3.626198;0.515138;-1.000000;-1.000000;-2.141336,3.626198,-2.141336
5,12,&D^[PB?,2,4,3.626198;0.515138;-1.000000;-1.000000;-2.141336,3.626198,-2.141336
